kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,Strana zelených,Švýcarská demokracie,VOLNÝ blok,Svoboda a př. demokracie (SPD),Česká str.sociálně demokrat.,ALIANCE NÁRODNÍCH SIL,Trikolora Svobodní Soukromníci,Aliance pro budoucnost,Hnutí Prameny,PŘÍSAHA Roberta Šlachty,"SPOLU – ODS, KDU-ČSL, TOP 09",SENIOŘI 21,Urza.cz: Nechceme vaše hlasy,Koruna Česká (monarch.strana),PIRÁTI a STAROSTOVÉ,Komunistická str.Čech a Moravy,ANO 2011,Otevřeme ČR normálnímu životu,Moravané,-
598925,Albrechtice,3 097,2 026,2 013,12,5,38,298,143,1,35,1,0,81,359,3,2,0,160,81,784,5,5,-
599051,Bohumín,17 095,9 460,9 392,67,38,178,1 503,731,8,233,10,10,408,1 435,9,10,12,944,371,3 362,34,29,-
598933,Český Těšín,18 976,11 099,11 025,98,38,222,1 449,569,8,295,9,11,582,2 549,18,11,13,1 084,374,3 614,38,43,-
598941,Dětmarovice,3 577,2 285,2 266,22,5,60,393,123,1,54,3,2,120,337,1,4,3,163,113,841,5,16,-
598968,Dolní Lutyně,4 284,2 745,2 727,15,8,59,407,156,0,79,3,5,129,442,5,3,8,255,108,1 024,10,11,-
568864,Doubrava,988,546,536,3,1,16,101,26,0,11,0,0,37,51,1,1,0,32,18,230,3,5,-
555088,Havířov,58 447,32 106,31 880,310,79,639,4 469,1 920,21,712,45,50,1 376,4 954,23,29,36,3 274,1 550,12 161,94,138,-
598178,Horní Bludovice,2 007,1 448,1 447,9,5,31,178,82,1,28,3,0,65,335,2,3,0,177,96,422,4,6,-
552739,Horní Suchá,3 577,1 971,1 952,15,5,46,289,111,0,32,2,1,118,294,1,0,3,200,119,707,3,6,-
555291,Chotěbuz,1 022,705,691,8,2,9,125,47,1,19,1,0,23,178,0,1,0,72,8,195,0,2,-
598917,Karviná,42 196,21 193,21 014,158,45,451,3 055,1 373,10,314,20,23,939,2 384,17,12,30,1 652,953,9 470,41,67,-
599069,Orlová,23 573,12 116,12 021,82,27,242,2 224,716,11,233,24,7,596,1 330,9,10,14,970,570,4 873,37,46,-
599077,Petrovice u Karviné,3 928,2 548,2 533,19,5,48,341,139,1,63,2,1,142,484,1,3,4,197,94,977,5,7,-
599085,Petřvald,5 890,3 503,3 472,21,6,79,538,244,6,99,8,9,147,512,1,1,8,308,206,1 246,13,20,-
599107,Rychvald,6 043,3 790,3 750,27,11,89,582,223,4,92,3,3,178,604,3,4,2,372,197,1 334,8,14,-
599140,Stonava,1 429,915,910,8,2,17,148,48,0,16,0,1,36,122,0,0,0,79,37,395,1,0,-
599158,Těrlicko,3 817,2 594,2 578,22,5,41,294,151,2,44,2,5,112,571,3,4,3,245,124,922,12,16,-
